ordem;restaurant_id;categoria;caminho_categorias;nome;descricao;preco_referencia_reais;origem_preco_referencia;preco_source_file;preco_json_pointer;price_bruto_api;default_price_bruto_api;display_default_price_na_fonte;tipo_produto_api;ativo_na_fonte;visivel_na_fonte;source_id;json_pointer;variantes_e_componentes;sinalizacoes;status_revisao;observacoes_ike
11;freneze;Entradas;Menu Principal > Entradas;Ostra Fresca - und;Temperada com azeite extra virgem e flor de sal.;18,00;price do produto simples;raw_catalogo.json;/1/children/1/products/8/price;18;0;true;1;true;true;98365;/1/children/1/products/8;;NOME_REPETIDO_OUTRA_CATEGORIA;PENDENTE;
12;freneze;Entradas;Menu Principal > Entradas;Ostras Gratinadas - und;Gratinada com queijo cremoso.;22,00;price do produto simples;raw_catalogo.json;/1/children/1/products/9/price;22;0;true;1;true;true;98366;/1/children/1/products/9;;;PENDENTE;
13;freneze;Entradas;Menu Principal > Entradas;Steak Tartare Defumado;Mignon picado na ponta da faca,cebola roxa, Alcaparras, Picles de pepino, Azeite defumado e espuma de Mostarda Dijon.;117,00;price do produto simples;raw_catalogo.json;/1/children/1/products/10/price;117;0;true;1;true;true;98367;/1/children/1/products/10;;;PENDENTE;
14;freneze;Entradas;Menu Principal > Entradas;Beef Tonnato;Miolo de Mignon selado, Maionese de anchovas e atum em cubos, finalisado com Furikake e ceboulete.;126,00;price do produto simples;raw_catalogo.json;/1/children/1/products/11/price;126;0;true;1;true;true;98368;/1/children/1/products/11;;;PENDENTE;
15;freneze;Entradas;Menu Principal > Entradas;Carpaccio Parrileiro;Ojo de Beef levemente selado com molho a base de Sriracha e mostarda Dijon.;134,00;price do produto simples;raw_catalogo.json;/1/children/1/products/12/price;134;0;true;1;true;true;98369;/1/children/1/products/12;;;PENDENTE;
16;freneze;Entradas;Menu Principal > Entradas;Carpaccio Gratinado;Lagarto selado na parrilla, com mostarda Dijon Parmesão e azeite trufado, servido com salada de alface, cogumelos e fonduta de queijo.;128,00;price do produto simples;raw_catalogo.json;/1/children/1/products/13/price;128;0;true;1;true;true;98370;/1/children/1/products/13;;;PENDENTE;
17;freneze;Entradas;Menu Principal > Entradas;Palmito Pupunha 540g;Pupunha grelhada na parrilla e servida com manteiga de ervas.;92,00;price do produto simples;raw_catalogo.json;/1/children/1/products/14/price;92;0;true;1;true;true;98371;/1/children/1/products/14;;;PENDENTE;
18;freneze;Entradas;Menu Principal > Entradas;LInguiça Frêneze;Linguiça artesanl com tempero Oriental.;56,00;price do produto simples;raw_catalogo.json;/1/children/1/products/15/price;56;0;true;1;true;true;98372;/1/children/1/products/15;;;PENDENTE;
19;freneze;Entradas;Menu Principal > Entradas;Mix de Linguiça;Cachaça, Freneze e Weisswurst;118,00;price do produto simples;raw_catalogo.json;/1/children/1/products/16/price;118;0;true;1;true;true;98373;/1/children/1/products/16;;;PENDENTE;
20;freneze;Entradas;Menu Principal > Entradas;Burrata Oro;Burrata servida com tomatinhos confitados e recoberta por folha de Ouro.;119,00;price do produto simples;raw_catalogo.json;/1/children/1/products/17/price;119;0;true;1;true;true;98778;/1/children/1/products/17;;;PENDENTE;
21;freneze;Balcão do  Mar;Menu Principal > Balcão do  Mar;Tour  do Mar;Uma verdadeira viagem ao oceano com Camarões, Ostra, ceviche de frutos do mar e salmão fresco.;188,00;price do produto simples;raw_catalogo.json;/1/children/2/products/0/price;188;0;true;1;true;true;99613;/1/children/2/products/0;;;PENDENTE;
22;freneze;Balcão do  Mar;Menu Principal > Balcão do  Mar;Cerviche de frutos do mar;clássico prato peruano que combina texturas diferentes com acidez marcante.;94,00;price do produto simples;raw_catalogo.json;/1/children/2/products/1/price;94;0;true;1;true;true;93899;/1/children/2/products/1;;;PENDENTE;
23;freneze;Balcão do  Mar;Menu Principal > Balcão do  Mar;Tartar de Salmão Frnz;Salmão picado na ponta da faca temperado com cebola roxa, picles e alcaparras, Finalizado com azeite e flor de sal.;119,00;price do produto simples;raw_catalogo.json;/1/children/2/products/2/price;119;0;true;1;true;true;93903;/1/children/2/products/2;;;PENDENTE;
24;freneze;Balcão do  Mar;Menu Principal > Balcão do  Mar;Ostra Fresca - und;Temperadas com azeite Extra Virgem e flor de sal;18,00;price do produto simples;raw_catalogo.json;/1/children/2/products/3/price;18;0;true;1;true;true;93897;/1/children/2/products/3;;NOME_REPETIDO_OUTRA_CATEGORIA;PENDENTE;
25;freneze;Balcão do  Mar;Menu Principal > Balcão do  Mar;Pan Tumaka;Pão artesanal tostado com tomate ralado, atum e anchova importada.;57,00;price do produto simples;raw_catalogo.json;/1/children/2/products/4/price;57;0;true;1;true;true;93898;/1/children/2/products/4;;;PENDENTE;
26;freneze;Balcão do  Mar;Menu Principal > Balcão do  Mar;Polvo a Lagareiro;Polvo confit no azeite servido com pão de fermentação natural tostado.;136,00;price do produto simples;raw_catalogo.json;/1/children/2/products/5/price;136;0;true;1;true;true;93900;/1/children/2/products/5;;;PENDENTE;
27;freneze;Balcão do  Mar;Menu Principal > Balcão do  Mar;Vieira Meia Concha;temperada com azeite de ervas, flor de sal, Wasabi,Tabasco jalapeno e ovas.;45,00;price do produto simples;raw_catalogo.json;/1/children/2/products/6/price;45;0;true;1;true;true;93901;/1/children/2/products/6;;;PENDENTE;
28;freneze;Balcão do  Mar;Menu Principal > Balcão do  Mar;Vieira Peruana;Servidas com ovas de salmão e espuma de wasabi.;52,00;price do produto simples;raw_catalogo.json;/1/children/2/products/7/price;52;0;true;1;true;true;93902;/1/children/2/products/7;;;PENDENTE;
29;freneze;Balcão do  Mar;Menu Principal > Balcão do  Mar;Bacalhau em lascas;Bacalhau Gadus Norhua confitado no azeite extra virgem.;159,00;price do produto simples;raw_catalogo.json;/1/children/2/products/8/price;159;0;true;1;true;true;97470;/1/children/2/products/8;;;PENDENTE;
30;freneze;Principais;Menu Principal > Principais;Surf & Turf;Ojo de bife grelhado, acompanhado de camarões rosa, puré de batata. Finalizado com molho demi-glace e nosso molho oriental.;237,00;price do produto simples;raw_catalogo.json;/1/children/3/products/0/price;237;0;true;1;true;true;98350;/1/children/3/products/0;;;PENDENTE;
31;freneze;Principais;Menu Principal > Principais;Tuna Tataki;Atum fresco selado, acompanhado de batata crocante, maionese tonkatsu, molho tarê, furikake e katsobushi.;192,00;price do produto simples;raw_catalogo.json;/1/children/3/products/1/price;192;0;true;1;true;true;98352;/1/children/3/products/1;;;PENDENTE;
32;freneze;Principais;Menu Principal > Principais;Cordeiro Steak;Corte selecionado de cordeiro grelhado, acompanhado de aligot de banana, demi-glace e molho oriental.;198,00;price do produto simples;raw_catalogo.json;/1/children/3/products/2/price;198;0;true;1;true;true;98354;/1/children/3/products/2;;;PENDENTE;
33;freneze;Principais;Menu Principal > Principais;Frêneze Mostard;Ribeye Cap grelhado, servido com nosso molho especial de mostarda e cebola crocante empanada, temperada com lemon pepper e páprica defumada.;194,00;price do produto simples;raw_catalogo.json;/1/children/3/products/3/price;194;0;true;1;true;true;98355;/1/children/3/products/3;;;PENDENTE;
34;freneze;Principais;Menu Principal > Principais;Risoto do Sertão;Risoto de arroz arbóreo cremoso com linguiça artesanal, mostarda ancienne, molho vermelho, parmesão e burrata.;149,00;price do produto simples;raw_catalogo.json;/1/children/3/products/4/price;149;0;true;1;true;true;98356;/1/children/3/products/4;;;PENDENTE;
35;freneze;Principais;Menu Principal > Principais;Magret de Pato;Peito de pato preparado com precisão, servido com puré de cenoura, couve crocante e molho de laranja aromatizado com especiarias.;219,00;price do produto simples;raw_catalogo.json;/1/children/3/products/5/price;219;0;true;1;true;true;98351;/1/children/3/products/5;;;PENDENTE;
36;freneze;Seleção Especial;Menu Principal > Seleção Especial;Wagyu na Parrilla Chorizo;Preço para cada 100gr;239,00;price do produto simples;raw_catalogo.json;/1/children/4/products/0/price;239;0;true;1;true;true;93891;/1/children/4/products/0;;;PENDENTE;
37;freneze;Seleção Especial;Menu Principal > Seleção Especial;Prime Rib;Corte com 600g;499,00;price do produto simples;raw_catalogo.json;/1/children/4/products/1/price;499;0;true;1;true;true;93893;/1/children/4/products/1;;;PENDENTE;
38;freneze;Seleção Especial;Menu Principal > Seleção Especial;Porterhouse;Corte com 1kg;529,00;price do produto simples;raw_catalogo.json;/1/children/4/products/2/price;529;0;true;1;true;true;93894;/1/children/4/products/2;;;PENDENTE;
39;freneze;Seleção Especial;Menu Principal > Seleção Especial;Vaca Velha Chorizo;Preço para cada 100gr;99,00;price do produto simples;raw_catalogo.json;/1/children/4/products/3/price;99;0;true;1;true;true;93895;/1/children/4/products/3;;;PENDENTE;
40;freneze;Seleção Especial;Menu Principal > Seleção Especial;Vaca Velha Pìcanha;Preço para cada 100gr;99,00;price do produto simples;raw_catalogo.json;/1/children/4/products/4/price;99;0;true;1;true;true;93896;/1/children/4/products/4;;;PENDENTE;
41;freneze;Sobremesa Frêneze;Sobremesa Frêneze;Pipoca & Doce de Leite;Cheesecake de doce de leite, pipoca caramelizada, sorvete de pipoca, crumble e calda de doce de leite.;54,00;price do produto simples;raw_catalogo.json;/2/products/0/price;54;0;true;1;true;true;93904;/2/products/0;;;PENDENTE;
42;freneze;Sobremesa Frêneze;Sobremesa Frêneze;Romeu & Julieta Frêneze;Goiabada, creme de queijo, crumble, calda de goiaba e sorvete de queijo.;42,00;price do produto simples;raw_catalogo.json;/2/products/1/price;42;0;true;1;true;true;93905;/2/products/1;;;PENDENTE;
43;freneze;Sobremesa Frêneze;Sobremesa Frêneze;Cocada cremosa;Cocada cremosa e delicadamente aquecida, preparada com coco fresco, servida com gelato de nata, em um delicioso contraste entre o quente e o frio.;40,00;price do produto simples;raw_catalogo.json;/2/products/2/price;40;0;true;1;true;true;93906;/2/products/2;;;PENDENTE;
44;freneze;Sobremesa Frêneze;Sobremesa Frêneze;Pavlova Verde;Suspiro, kiwi fresco, gel de maçã verde e calda de kiwi.;42,00;price do produto simples;raw_catalogo.json;/2/products/3/price;42;0;true;1;true;true;93907;/2/products/3;;;PENDENTE;
45;freneze;Softs;Bebidas > Softs;Coca cola 250 ML;;12,00;price do produto simples;raw_catalogo.json;/3/children/0/products/0/price;12;0;true;1;true;true;93922;/3/children/0/products/0;;DESCRICAO_AUSENTE;PENDENTE;
46;freneze;Softs;Bebidas > Softs;Coca Cola Zero 250 ML;;12,00;price do produto simples;raw_catalogo.json;/3/children/0/products/1/price;12;0;true;1;true;true;93923;/3/children/0/products/1;;DESCRICAO_AUSENTE;PENDENTE;
47;freneze;Softs;Bebidas > Softs;Tônica schweppes 350 ML;;12,00;price do produto simples;raw_catalogo.json;/3/children/0/products/2/price;12;0;true;1;true;true;93924;/3/children/0/products/2;;DESCRICAO_AUSENTE;PENDENTE;
48;freneze;Softs;Bebidas > Softs;Tônica schweppes Zero 350 ML;;12,00;price do produto simples;raw_catalogo.json;/3/children/0/products/3/price;12;0;true;1;true;true;93925;/3/children/0/products/3;;DESCRICAO_AUSENTE;PENDENTE;
49;freneze;Softs;Bebidas > Softs;Água Pura sem gás;;9,00;price do produto simples;raw_catalogo.json;/3/children/0/products/4/price;9;0;true;1;true;true;93926;/3/children/0/products/4;;DESCRICAO_AUSENTE;PENDENTE;
50;freneze;Softs;Bebidas > Softs;Água Pura com gás;;9,00;price do produto simples;raw_catalogo.json;/3/children/0/products/5/price;9;0;true;1;true;true;93927;/3/children/0/products/5;;DESCRICAO_AUSENTE;PENDENTE;
51;freneze;Softs;Bebidas > Softs;San pellegrino 500 ML;Água mineral natural reforçada com gás natural da fonte.;42,00;price do produto simples;raw_catalogo.json;/3/children/0/products/6/price;42;0;true;1;true;true;93928;/3/children/0/products/6;;;PENDENTE;
52;freneze;Softs;Bebidas > Softs;Acqua Panna 500 ML;Água extremamente leve, a preferida pelas associações de Sommeliers para acompanhar.;42,00;price do produto simples;raw_catalogo.json;/3/children/0/products/7/price;42;0;true;1;true;true;93929;/3/children/0/products/7;;;PENDENTE;
53;freneze;Softs;Bebidas > Softs;Guarana;;12,00;price do produto simples;raw_catalogo.json;/3/children/0/products/8/price;12;0;true;1;true;true;93930;/3/children/0/products/8;;DESCRICAO_AUSENTE;PENDENTE;
54;freneze;Softs;Bebidas > Softs;Guarana zero;;12,00;price do produto simples;raw_catalogo.json;/3/children/0/products/9/price;12;0;true;1;true;true;93931;/3/children/0/products/9;;DESCRICAO_AUSENTE;PENDENTE;
55;freneze;Softs;Bebidas > Softs;Agua de coco;;18,00;price do produto simples;raw_catalogo.json;/3/children/0/products/10/price;18;0;true;1;true;true;93932;/3/children/0/products/10;;DESCRICAO_AUSENTE;PENDENTE;
56;freneze;Softs;Bebidas > Softs;Café;Ristreto, Vanilla e Descafeinado;12,00;price do produto simples;raw_catalogo.json;/3/children/0/products/11/price;12;0;true;1;true;true;93933;/3/children/0/products/11;;;PENDENTE;
57;freneze;Softs;Bebidas > Softs;Suco de Uva;;24,00;preco da unica variante cobrada e ativa;raw_detalhes.json;/responses/1/body/product/product_composite_steps/0/complements/0/price;24;0;true;9;true;true;93935;/3/children/0/products/12;Volume > Suco de Uva - 300ml: 24,00 (COBRADO_NA_FONTE);VARIANTE_UNICA_PRESERVAR_ROTULO | DESCRICAO_AUSENTE;PENDENTE;
58;freneze;Softs;Bebidas > Softs;Soda de Maça Verde;;32,00;price do produto simples;raw_catalogo.json;/3/children/0/products/13/price;32;0;true;1;true;true;93936;/3/children/0/products/13;;DESCRICAO_AUSENTE;PENDENTE;
59;freneze;Softs;Bebidas > Softs;Soda de Melancia;;32,00;price do produto simples;raw_catalogo.json;/3/children/0/products/14/price;32;0;true;1;true;true;93937;/3/children/0/products/14;;DESCRICAO_AUSENTE;PENDENTE;
60;freneze;Softs;Bebidas > Softs;Soda de Manga;;32,00;price do produto simples;raw_catalogo.json;/3/children/0/products/15/price;32;0;true;1;true;true;93938;/3/children/0/products/15;;DESCRICAO_AUSENTE;PENDENTE;
61;freneze;Drinks Autorais;Bebidas > Drinks Autorais;Verdejo;Gin, suco de abacaxi, licor de laranja, xarope simples, suco de limão, angostura e manjericão.;52,00;price do produto simples;raw_catalogo.json;/3/children/1/products/0/price;52;0;true;1;true;true;93908;/3/children/1/products/0;;;PENDENTE;
62;freneze;Drinks Autorais;Bebidas > Drinks Autorais;Terral;Absolut vanilia, suco de melancia, suco de pepino, xarope simples, suco limão e folha de shisso.;52,00;price do produto simples;raw_catalogo.json;/3/children/1/products/1/price;52;0;true;1;true;true;93909;/3/children/1/products/1;;;PENDENTE;
63;freneze;Drinks Autorais;Bebidas > Drinks Autorais;Figueira;Jerez fino infusionado com figo, Jerez Valdespino, Rum zacapa e Amaro Branco San Basile.;52,00;price do produto simples;raw_catalogo.json;/3/children/1/products/2/price;52;0;true;1;true;true;93910;/3/children/1/products/2;;;PENDENTE;
64;freneze;Drinks Autorais;Bebidas > Drinks Autorais;Rosato;Gin infusionado com cumaru, vermute seco infusionado com damasco, Amaro Branco San Basile.;54,00;price do produto simples;raw_catalogo.json;/3/children/1/products/3/price;54;0;true;1;true;true;93911;/3/children/1/products/3;;;PENDENTE;
65;freneze;Drinks Autorais;Bebidas > Drinks Autorais;Alba Legacy;JW18 infusionado com nibs, vermute rosso, Jerez Oloroso, bitter aromatico e bitter de chocolate.;92,00;price do produto simples;raw_catalogo.json;/3/children/1/products/4/price;92;0;true;1;true;true;93912;/3/children/1/products/4;;;PENDENTE;
66;freneze;Drinks Autorais;Bebidas > Drinks Autorais;Alberca;Don Julio Blanco, mezcal, polpa de cupuaçu, blend 1833 maga + banana e suco de limão.;96,00;price do produto simples;raw_catalogo.json;/3/children/1/products/5/price;96;0;true;1;true;true;93913;/3/children/1/products/5;;;PENDENTE;
67;freneze;Drinks Autorais;Bebidas > Drinks Autorais;Salina;Tequila, pickles, vermute seco e gin.;64,00;price do produto simples;raw_catalogo.json;/3/children/1/products/6/price;64;0;true;1;true;true;93914;/3/children/1/products/6;;;PENDENTE;
68;freneze;Drinks Classicos;Bebidas > Drinks Classicos;Negroni;Gin, vermute rosso e bitter aperitivo.;58,00;price do produto simples;raw_catalogo.json;/3/children/2/products/0/price;58;0;true;1;true;true;93915;/3/children/2/products/0;;;PENDENTE;
69;freneze;Drinks Classicos;Bebidas > Drinks Classicos;Dry Martini;Gin e vermute seco.;48,00;price do produto simples;raw_catalogo.json;/3/children/2/products/1/price;48;0;true;1;true;true;93916;/3/children/2/products/1;;;PENDENTE;
70;freneze;Drinks Classicos;Bebidas > Drinks Classicos;Fitzgerald;Gin, limão e açúcar.;58,00;price do produto simples;raw_catalogo.json;/3/children/2/products/2/price;58;0;true;1;true;true;93917;/3/children/2/products/2;;;PENDENTE;
71;freneze;Drinks Classicos;Bebidas > Drinks Classicos;Gin & Tônica;Gin & Tônica;56,00;price do produto simples;raw_catalogo.json;/3/children/2/products/3/price;56;0;true;1;true;true;93918;/3/children/2/products/3;;;PENDENTE;
72;freneze;Drinks Classicos;Bebidas > Drinks Classicos;Old Fashioned;Bourbon, açúcar e Angostura. Finalizado com cereja.;48,00;price do produto simples;raw_catalogo.json;/3/children/2/products/4/price;48;0;true;1;true;true;93919;/3/children/2/products/4;;;PENDENTE;
73;freneze;Drinks Classicos;Bebidas > Drinks Classicos;Bloody Mary;Aperol, espumante e água com gás. Finalizado com laranja.;56,00;price do produto simples;raw_catalogo.json;/3/children/2/products/5/price;56;0;true;1;true;true;93920;/3/children/2/products/5;;;PENDENTE;
74;freneze;Drinks Classicos;Bebidas > Drinks Classicos;Aperol Spritz;Vodka, suco de tomate temperado e limão. Servido com azeitona e bacon.;52,00;price do produto simples;raw_catalogo.json;/3/children/2/products/6/price;52;0;true;1;true;true;93921;/3/children/2/products/6;;;PENDENTE;
75;freneze;Cervejas;Bebidas > Cervejas;Cerveja Heineken;;22,00;price do produto simples;raw_catalogo.json;/3/children/3/products/0/price;22;0;true;1;true;true;93940;/3/children/3/products/0;;DESCRICAO_AUSENTE;PENDENTE;
76;freneze;Cervejas;Bebidas > Cervejas;Cerveja Heineken Zero;;22,00;price do produto simples;raw_catalogo.json;/3/children/3/products/1/price;22;0;true;1;true;true;93941;/3/children/3/products/1;;DESCRICAO_AUSENTE;PENDENTE;
77;freneze;Cervejas;Bebidas > Cervejas;Cerveja Baden Baden;;34,00;price do produto simples;raw_catalogo.json;/3/children/3/products/2/price;34;0;true;1;true;true;93942;/3/children/3/products/2;;DESCRICAO_AUSENTE;PENDENTE;
78;freneze;Cervejas;Bebidas > Cervejas;Cerveja Blue Moon;;34,00;price do produto simples;raw_catalogo.json;/3/children/3/products/3/price;34;0;true;1;true;true;93943;/3/children/3/products/3;;DESCRICAO_AUSENTE;PENDENTE;
79;freneze;Doses;Bebidas > Doses;Amaro Branco San Basile;;36,00;price do produto simples;raw_catalogo.json;/3/children/4/products/0/price;36;0;true;1;true;true;93944;/3/children/4/products/0;;DESCRICAO_AUSENTE;PENDENTE;
80;freneze;Doses;Bebidas > Doses;Amaro Monte Negro;;42,00;price do produto simples;raw_catalogo.json;/3/children/4/products/1/price;42;0;true;1;true;true;93945;/3/children/4/products/1;;DESCRICAO_AUSENTE;PENDENTE;
